ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
321588,4088986,2,2
321588,4089460,5,5
321588,4098133,2,6
321588,4100130,4,4
321588,4100133,3,3
321588,4100135,3,4
321588,4100136,2,2
321588,4100138,4,4
321588,4100866,4,4
321588,4100867,4,4
321588,4100869,4,4
321588,4101026,2,2
321588,4101033,2,6
321588,4102252,3,5
321588,4102845,3,3
321588,4102853,4,4
321588,4102856,2,2
321588,4119602,4,5
321588,4120084,2,4
321588,4121470,5,5
321588,4124696,4,5
321588,4124704,3,5
321588,4152594,3,3
321588,4176112,5,5
321588,4190306,4,5
321588,4199501,4,5
321588,4216321,3,3
321588,4219995,3,7
321588,4232691,4,5
321588,4232697,4,5
321588,4236004,3,3
321588,4236884,4,4
321588,4273462,3,3
321588,4277903,3,5
321588,4302802,4,4
321588,36716113,4,4
321588,36716866,4,4
321588,37110775,3,5
321588,40486560,5,5
321588,40486703,4,4
321588,40487103,3,5
321588,40487418,3,4
321588,40487587,4,4
321588,40488072,5,5
321588,40489904,4,4
321588,40490482,3,5
321588,40490945,6,6
321588,40491009,3,3
321588,40493209,3,3
321588,40493497,5,6
321588,40488891,4,4
321588,40489802,3,4
321588,40491008,3,3
321588,42872924,4,6
321588,43020582,5,5
321588,43020889,2,6
321588,43020892,3,5
321588,43021062,3,4
321588,43021297,2,6
321588,43021480,3,3
321588,43021997,3,3
321588,43022066,3,3
321588,44803309,6,6
321588,44803452,5,5
321588,44803453,5,5
321588,44803455,5,5
376106,4139517,3,3
376208,4081040,6,6
376208,40486037,4,5
376208,43020888,4,4
376337,4139517,3,4
432250,43021297,5,6
432453,36713962,4,4
432453,36717692,5,5
432453,37394031,5,5
432595,4216321,3,3
434467,40490482,1,1
434467,44803453,1,1
435839,36716113,2,3
435912,4101033,2,2
435912,4245618,1,1
438112,4121470,2,9
438168,4100132,2,2
438168,4102852,2,2
439045,43021060,3,4
439388,44809428,2,2
440142,313217,4,5
440142,314665,5,5
440142,4027246,4,4
440142,4066746,5,7
440142,4068155,4,4
440142,4088504,5,5
440142,4088984,6,6
440142,4088986,3,3
440142,4089460,6,6
440142,4098133,3,7
440142,4100130,5,5
440142,4100133,4,4
440142,4100135,4,5
440142,4100136,3,3
440142,4100138,5,5
440142,4100866,5,5
440142,4100867,5,5
440142,4100869,5,5
440142,4101026,3,3
440142,4101033,3,7
440142,4102252,4,6
440142,4102845,4,4
440142,4102853,5,5
440142,4102856,3,3
440142,4108830,5,6
440142,4117112,5,6
440142,4119602,5,6
440142,4120084,3,5
440142,4121470,6,6
440142,4124696,5,6
440142,4124704,4,6
440142,4152594,4,4
440142,4176112,6,6
440142,4190306,5,6
440142,4199501,5,6
440142,4216321,4,4
440142,4219995,4,8
440142,4229749,3,4
440142,4232691,5,6
440142,4232697,5,6
440142,4236004,4,4
440142,4236884,5,5
440142,4273462,4,4
440142,4277903,4,6
440142,36716113,5,5
440142,36716866,5,5
440142,37110775,4,6
440142,40486037,4,6
440142,40486560,6,6
440142,40486703,5,5
440142,40487103,4,6
440142,40487418,4,5
440142,40487587,5,5
440142,40488072,6,6
440142,40489904,5,5
440142,40490482,4,6
440142,40490945,7,7
440142,40491009,4,4
440142,40493209,4,4
440142,40493497,6,7
440142,43020560,5,5
440142,43020562,5,5
440142,43020563,5,5
